"Adygea, Republic of",Altai Krai,,,1,"Adygea, Republic of"
"Bashkortostan, Republic of","Tatarstan, Republic of",,,2,"Bashkortostan, Republic of"
"Bashkortostan, Republic of",Udmurt Republic,,,3,"Buryatia, Republic of"
"Bashkortostan, Republic of",Orenburg Oblast,,,4,Altai Republic
"Bashkortostan, Republic of",Sverdlovsk Oblast,,,5,"Dagestan, Republic of"
"Bashkortostan, Republic of",Chelyabinsk Oblast,,,6,"Ingushetia, Republic of"
"Bashkortostan, Republic of","Crimea, Republic of[d]",,,7,Kabardino-Balkar Republic
"Buryatia, Republic of",Tuva Republic,,,8,"Kalmykia, Republic of"
"Buryatia, Republic of",Altai Krai,,,9,Karachay-Cherkess Republic
"Buryatia, Republic of",Chelyabinsk Oblast,,,10,"Karelia, Republic of"
Altai Republic,"Khakassia, Republic of",,,11,Komi Republic
Altai Republic,Altai Krai,,,12,Mari El Republic
Altai Republic,Altai Krai,,,13,"Mordovia, Republic of"
Altai Republic,Tuva Republic,,,14,Sakha (Yakutia) Republic
"Dagestan, Republic of","Khakassia, Republic of",,,15,"North Ossetia-Alania, Republic of"
"Ingushetia, Republic of","Bashkortostan, Republic of",,,16,"Tatarstan, Republic of"
"Ingushetia, Republic of",Altai Krai,,,17,Tuva Republic
Kabardino-Balkar Republic,"Ingushetia, Republic of",,,18,Udmurt Republic
Kabardino-Balkar Republic,Karachay-Cherkess Republic,,,19,"Khakassia, Republic of"
Kabardino-Balkar Republic,Altai Krai,,,21,Chuvash Republic
Kabardino-Balkar Republic,Altai Krai,,,22,Altai Krai
"Kalmykia, Republic of","Bashkortostan, Republic of",,,75,Zabaykalsky Krai
"Kalmykia, Republic of","Khakassia, Republic of",,,41,Kamchatka Krai
"Kalmykia, Republic of",Rostov Oblast,,,23,Krasnodar Krai
"Kalmykia, Republic of",Altai Krai,,,24,Krasnoyarsk Krai
"Kalmykia, Republic of",Altai Krai,,,90,Perm Krai
Karachay-Cherkess Republic,Altai Krai,,,25,Primorsky Krai
Karachay-Cherkess Republic,Altai Krai,,,26,Stavropol Krai
"Karelia, Republic of",Saint Petersburg,,,27,Khabarovsk Krai
"Karelia, Republic of",Altai Krai,,,28,Amur Oblast
"Karelia, Republic of",Altai Krai,,,29,Arkhangelsk Oblast
"Karelia, Republic of",Altai Krai,,,30,Astrakhan Oblast
